ID	ADMINISTRATIVE_NAME	LANG_CODE_ON	ALTERNATE_NAME	LANG_CODE_AN	ADMINISTRATIVE_NUMBER	ADMINISTRATIVE_BOUNDARY_TYPE	DISTRICT_OFFICIAL_NAME	AREA	PERIMETER	POPULATION
1119525	ULU DONG	MAY	NULL	NULL	27	28	RAUB	191.489700	65.073487	1521
1119526	BUDU	MAY	NULL	NULL	27	28	LIPIS	75.875100	40.315197	4889
1119527	PENJOM	MAY	NULL	NULL	27	28	LIPIS	183.215700	67.369804	10089
1119528	GUA	MAY	NULL	NULL	27	28	LIPIS	71.679300	46.849090	3849
1119529	SOKOR	MAY	NULL	NULL	17	28	TANAH MERAH	268.814200	94.427661	27289
1119530	GUAL PERIOK	MAY	NULL	NULL	17	28	PASIR MAS	119.139100	61.360144	15326
1119531	RANTAU PANJANG	MAY	NULL	NULL	17	28	PASIR MAS	96.023200	51.400125	23714
1119532	BANDAR SEREMBAN	MAY	NULL	NULL	70	28	SEREMBAN	23.869400	31.819385	64055
1119533	SEREMBAN	MAY	NULL	NULL	71	28	SEREMBAN	32.681700	32.392208	22326
1119534	SUNGAI BARU TENGAH	MAY	NULL	NULL	78	28	ALOR GAJAH	21.502100	29.111943	12760
1119535	SUNGAI BARU ILIR	MAY	NULL	NULL	78	28	ALOR GAJAH	38.795200	34.257372	6461
1119536	PILIN	MAY	NULL	NULL	71	28	REMBAU	18.972600	18.642680	903
1119537	CHEMBONG	MAY	NULL	NULL	71	28	REMBAU	22.550000	27.801388	7628
1119538	PEDAS	MAY	NULL	NULL	71	28	REMBAU	75.028400	47.822631	5978
1119539	KUNDOR	MAY	NULL	NULL	71	28	REMBAU	25.068300	30.274148	1520
1119540	SUNGEI SIPUT	MAY	NULL	NULL	78	28	ALOR GAJAH	19.858600	23.267571	2315
1119541	RAMUAN CHINA BESAR	MAY	NULL	NULL	78	28	ALOR GAJAH	19.918200	30.179364	2602
1119542	RAMUAN CHINA KECIL	MAY	NULL	NULL	78	28	ALOR GAJAH	14.028400	29.210225	2313
1119543	NERASAU	MAY	NULL	NULL	71	28	REMBAU	11.696400	16.433767	953
1119544	TANJONG KELING	MAY	NULL	NULL	71	28	REMBAU	12.700600	11.336863	1523
1119545	BATU HAMPAR	MAY	NULL	NULL	71	28	REMBAU	7.583000	12.823301	2486
1119546	SPRI	MAY	NULL	NULL	71	28	REMBAU	24.217400	26.340282	922
1119547	PENGKALAN KUBOR	MAY	NULL	NULL	16	28	TUMPAT	23.973600	30.333697	20268
1119548	KUALA LIPIS	MAY	NULL	NULL	27	28	LIPIS	94.795200	44.994032	12106
1119549	ALOR PASIR	MAY	NULL	NULL	17	28	PASIR MAS	38.757400	25.053481	9351
1119550	ROMPIN	MAY	NULL	NULL	73	28	JEMPOL	726.077100	125.344398	50002
1119551	GEMAS	MAY	NULL	NULL	73	28	TAMPIN	273.111100	75.960462	27254
1119552	SEROM	MAY	NULL	NULL	84	28	MUAR	119.193400	70.395868	21148
1119553	GRISEK	MAY	NULL	NULL	84	28	MUAR	204.769600	72.657970	27167
1119554	SUNGAI RAYA	MAY	NULL	NULL	84	28	MUAR	50.528100	52.472044	7609
1119555	PARIT BAKAR	MAY	NULL	NULL	84	28	MUAR	41.728000	29.012745	12640
1119556	JALAN BAKRI	MAY	NULL	NULL	84	28	MUAR	62.396200	42.463337	30733
