ID	ADMINISTRATIVE_NAME	LANG_CODE_ON	ALTERNATE_NAME	LANG_CODE_AN	ADMINISTRATIVE_NUMBER	ADMINISTRATIVE_BOUNDARY_TYPE	DISTRICT_OFFICIAL_NAME	AREA	PERIMETER	POPULATION
1119741	PASIR RAJA	MAY	NULL	NULL	23	28	DUNGUN	484.186000	114.869520	1441
1119742	JENAGUR	MAY	NULL	NULL	21	28	HULU TERENGGANU	128.164600	50.681399	6123
1119743	TERSAT	MAY	NULL	NULL	21	28	HULU TERENGGANU	189.818700	73.794142	4023
1119744	HULU BERANG	MAY	NULL	NULL	21	28	HULU TERENGGANU	322.043100	110.852251	7096
1119745	HULU TELEMUNG	MAY	NULL	NULL	21	28	HULU TERENGGANU	267.262700	103.998383	8069
1119746	HULU NERUS	MAY	NULL	NULL	22	28	SETIU	506.805900	134.735671	12429
1119747	CALUK	MAY	NULL	NULL	22	28	SETIU	211.478500	84.696887	14483
1119748	SRI MENANTI	MAY	NULL	NULL	84	28	MUAR	91.805000	45.792715	10167
1119749	SUNGAI BALANG	MAY	NULL	NULL	84	28	MUAR	100.638000	44.577894	13124
1119750	AYER HITAM	MAY	NULL	NULL	84	28	MUAR	119.101200	48.189739	7695
1119751	BUKIT SERAMPANG	MAY	NULL	NULL	84	28	MUAR	197.666900	91.031262	8999
1119752	GEMEREH	MAY	NULL	NULL	85	28	SEGAMAT	22.514900	21.960708	6692
1119753	BULOH KASAP	MAY	NULL	NULL	85	28	SEGAMAT	268.041800	104.450908	22182
1119754	TASIK	MAY	NULL	NULL	22	28	SETIU	60.165800	35.573957	5844
1119755	BANDAR SEGAMAT	MAY	NULL	NULL	85	28	SEGAMAT	2.175000	6.811043	3805
1119756	LUBOK	MAY	NULL	NULL	83	28	BATU PAHAT	43.515400	31.306132	6959
1119757	MINYAK BEKU	MAY	NULL	NULL	83	28	BATU PAHAT	129.172600	63.330361	16724
1119758	LINAU	MAY	NULL	NULL	83	28	BATU PAHAT	110.797700	59.100856	14988
1119759	SIMPANG KANAN	MAY	NULL	NULL	83	28	BATU PAHAT	133.062100	54.057359	118653
1119760	CHAAH	MAY	NULL	NULL	85	28	SEGAMAT	181.477100	61.410544	13459
1119761	BATU RAKIT	MAY	NULL	NULL	21	28	KUALA TERENGGANU	116.365900	51.284354	30917
1119762	BELARA	MAY	NULL	NULL	21	28	KUALA TERENGGANU	214.898800	90.832109	15977
1119763	KUALA BERANG	MAY	NULL	NULL	21	28	HULU TERENGGANU	73.351900	50.268648	14633
1119764	TANGGUL	MAY	NULL	NULL	21	28	HULU TERENGGANU	72.936100	44.556572	7138
1119765	KUALA KELEMUNG	MAY	NULL	NULL	21	28	HULU TERENGGANU	53.200500	33.932761	5716
1119766	PESERAI	MAY	NULL	NULL	83	28	BATU PAHAT	18.786100	19.319292	8961
1119767	MERANG	MAY	NULL	NULL	22	28	SETIU	67.868800	33.984789	2322
1119768	MANIR	MAY	NULL	NULL	21	28	KUALA TERENGGANU	28.833900	35.145740	27241
1119769	ALUR LIMBAT	MAY	NULL	NULL	21	28	MARANG	57.214900	43.800431	14866
1119770	SERADA	MAY	NULL	NULL	21	28	KUALA TERENGGANU	21.837000	22.594563	5840
1119771	PALUH	MAY	NULL	NULL	21	28	KUALA TERENGGANU	4.001000	8.017764	8898
1119772	PEKAN CABANG TIGA	MAY	NULL	NULL	21	28	KUALA TERENGGANU	0.242500	1.803741	14985
1119773	KUBANG PARIT	MAY	NULL	NULL	21	28	KUALA TERENGGANU	3.189000	7.084643	6999
1119774	KEPUNG	MAY	NULL	NULL	21	28	KUALA TERENGGANU	4.220900	11.011637	6263
1119775	RENGAS	MAY	NULL	NULL	21	28	KUALA TERENGGANU	2.353200	8.319075	2926
1119776	TANJUNG SURAT	MAY	NULL	NULL	81	28	KOTA TINGGI	318.995900	89.049530	26204
1119777	KAMBAU	MAY	NULL	NULL	81	28	KOTA TINGGI	197.330700	61.624343	3397
1119778	PENGGERANG	MAY	NULL	NULL	81	28	KOTA TINGGI	188.873500	63.233958	19962
1119779	SEDILI KECIL	MAY	NULL	NULL	81	28	KOTA TINGGI	322.140400	79.440964	19281
1119780	SEDILI BESAR	MAY	NULL	NULL	81	28	KOTA TINGGI	210.552400	71.814659	12337
1119781	PULAI	MAY	NULL	NULL	81	28	JOHOR BAHRU	209.956100	83.912390	228870
1119782	TANJUNG KUPANG	MAY	NULL	NULL	81	28	JOHOR BAHRU	91.351600	47.278164	8344
1119783	LENGGOR	MAY	NULL	NULL	86	28	MERSING	642.919400	119.114695	298
1119784	PADANG ENDAU	MAY	NULL	NULL	86	28	MERSING	149.822400	86.136590	11311
1119785	LAYANG-LAYANG	MAY	NULL	NULL	86	28	KLUANG	226.989800	92.064461	12508
1119786	SENAI/KULAI	MAY	NULL	NULL	81	28	JOHOR BAHRU	443.451900	106.307050	130435
1119787	SEDENAK	MAY	NULL	NULL	81	28	JOHOR BAHRU	321.504000	88.375259	28992
1119788	ULU SUNGAI JOHOR	MAY	NULL	NULL	81	28	KOTA TINGGI	926.074600	141.559151	34808
1119789	SEMBRONG	MAY	NULL	NULL	86	28	MERSING	615.893500	120.458289	919
1119790	KAHANG	MAY	NULL	NULL	86	28	KLUANG	556.938000	110.923811	9901
1119791	ENDAU	MAY	NULL	NULL	26	28	ROMPIN	801.423800	210.846580	10969
1119792	BESERAH	MAY	NULL	NULL	26	28	KUANTAN	42.770500	35.397344	12043
1119793	SUNGAI KARANG	MAY	NULL	NULL	26	28	KUANTAN	270.686000	107.087102	1993
1119794	RENGAM	MAY	NULL	NULL	86	28	KLUANG	558.867400	106.874934	47510
1119795	ULU BENUT	MAY	NULL	NULL	86	28	KLUANG	105.586600	51.132237	10900
1119796	KLUANG	MAY	NULL	NULL	86	28	KLUANG	625.357900	120.797521	149689
1119797	NIYOR	MAY	NULL	NULL	86	28	KLUANG	250.085900	86.499391	3320
1119798	AYER BALOI	MAY	NULL	NULL	82	28	PONTIAN	146.255100	53.686092	12856
1119799	API-API	MAY	NULL	NULL	82	28	PONTIAN	85.937100	46.504453	20108
1119800	PENOR	MAY	NULL	NULL	26	28	KUANTAN	229.103800	66.417130	5767
1119801	PAHANG TUA	MAY	NULL	NULL	26	28	PEKAN	35.451300	27.033012	11076
1119802	LANGGAR	MAY	NULL	NULL	26	28	PEKAN	97.525000	50.028733	6919
1119803	PONTIAN	MAY	NULL	NULL	26	28	ROMPIN	285.486600	82.499720	32542
1119804	KUMPAL	MAY	NULL	NULL	23	28	DUNGUN	107.840600	50.214231	2775
1119805	KUALA PAKA	MAY	NULL	NULL	23	28	DUNGUN	144.080500	66.595976	23229
1119806	KUALA ABANG	MAY	NULL	NULL	23	28	DUNGUN	32.175500	28.653856	3705
1119807	RASAU	MAY	NULL	NULL	23	28	DUNGUN	195.300500	72.130554	19380
1119733	LENGA	MAY	NULL	NULL	84	28	MUAR	292.636300	86.734210	7173
1119808	HULU CUKAI	MAY	NULL	NULL	24	28	KEMAMAN	252.598200	90.032502	9018
1119809	BANGGUR	MAY	NULL	NULL	24	28	KEMAMAN	74.327300	61.110561	5319
1119810	BINJAI	MAY	NULL	NULL	24	28	KEMAMAN	33.562600	26.243875	8318
1119811	KEMASIK	MAY	NULL	NULL	24	28	KEMAMAN	66.915900	39.455224	7207
1119812	KERTEH	MAY	NULL	NULL	24	28	KEMAMAN	255.270400	92.642378	16006
1119813	MERCANG	MAY	NULL	NULL	21	28	MARANG	284.743000	79.792324	8253
1119814	MACHAP	MAY	NULL	NULL	86	28	KLUANG	121.591700	48.820498	5317
1119815	BENUT	MAY	NULL	NULL	82	28	PONTIAN	146.668300	56.939591	15831
1119816	GANCHONG	MAY	NULL	NULL	26	28	PEKAN	117.058600	58.741675	1329
1119817	TEMAI	MAY	NULL	NULL	26	28	PEKAN	110.893800	54.149653	978
1119818	BESUL	MAY	NULL	NULL	23	28	DUNGUN	143.890500	55.058643	2301
1119819	HULU JABUR	MAY	NULL	NULL	24	28	KEMAMAN	141.751900	66.064208	6847
1119820	SUNGAI KLUANG	MAY	NULL	NULL	83	28	BATU PAHAT	99.853200	47.694291	15936
1119821	RUSILA	MAY	NULL	NULL	21	28	MARANG	57.624700	34.719995	15430
1119822	CENERING	MAY	NULL	NULL	21	28	KUALA TERENGGANU	8.552000	13.235455	12214
1119823	BANDAR KUALA TERENGGANU	MAY	NULL	NULL	20	28	KUALA TERENGGANU	2.968800	8.417876	14350
1119824	BATU BURUK	MAY	NULL	NULL	21	28	KUALA TERENGGANU	5.710300	12.337003	14741
1119825	KUALA IBAI	MAY	NULL	NULL	21	28	KUALA TERENGGANU	5.351000	9.868880	9593
1119826	BUKIT BESAR	MAY	NULL	NULL	21	28	KUALA TERENGGANU	9.284700	14.746343	20437
1119350	BELANJA	MAY	NULL	NULL	32	28	PERAK TENGAH	224.304400	75.640466	14820
1119351	KOTA SETIA	MAY	NULL	NULL	36	28	PERAK TENGAH	76.574600	56.678573	3480
1119352	TELOK BAHARU	MAY	NULL	NULL	36	28	HILIR PERAK	89.970000	41.554831	6827
1119353	SUNGAI DURIAN	MAY	NULL	NULL	36	28	HILIR PERAK	79.790700	50.620081	3837
1119354	SOK	MAY	NULL	NULL	8	28	SIK	879.102700	171.622944	8323
1119355	PULAI	MAY	NULL	NULL	9	28	BALING	161.913000	83.912390	228870
1119356	BALING	MAY	NULL	NULL	9	28	BALING	48.933700	32.122437	8146
1119357	BONGOR	MAY	NULL	NULL	9	28	BALING	42.856600	28.750018	5827
1119358	KUPANG	MAY	NULL	NULL	9	28	BALING	201.269900	74.785456	25708
1119359	SIONG	MAY	NULL	NULL	9	28	BALING	573.533500	122.434542	12759
1119360	RUNGKUP	MAY	NULL	NULL	36	28	HILIR PERAK	121.261200	50.742450	12734
1119361	BAGAN DATOH	MAY	NULL	NULL	36	28	HILIR PERAK	179.998600	63.075638	13889
1119362	LEKIR	MAY	NULL	NULL	32	28	MANJUNG	108.389600	64.364904	9082
1119363	MAHANG	MAY	NULL	NULL	9	28	KULIM	110.077000	70.929613	2992
1119364	BATANG TUNGGANG KANAN	MAY	NULL	NULL	6	28	PADANG TERAP	89.521100	62.838305	1645
1119365	BUKIT GANTANG	MAY	NULL	NULL	34	28	LARUT & MATANG	136.183500	53.515495	12511
1119366	TUPAI	MAY	NULL	NULL	34	28	LARUT & MATANG	51.467100	34.182580	51032
1119367	KAMUNTING	MAY	NULL	NULL	34	28	LARUT & MATANG	44.173700	36.755559	24412
1119368	BATU KURAU	MAY	NULL	NULL	34	28	LARUT & MATANG	357.400900	87.625966	22953
1119369	KAMPONG BUAYA	MAY	NULL	NULL	33	28	KUALA KANGSAR	145.311000	57.717674	10164
1119370	JAYA BAHARU	MAY	NULL	NULL	36	28	PERAK TENGAH	167.207600	67.891448	340
1119371	BAKAI	MAY	NULL	NULL	9	28	BALING	274.923100	82.000062	13322
1119372	SUNGAI BATU	MAY	NULL	NULL	9	28	BANDAR BAHARU	35.174700	31.615810	3586
1119373	SEDIM	MAY	NULL	NULL	9	28	KULIM	52.263800	54.540621	2847
1119374	PENGKALAN AOR	MAY	NULL	NULL	34	28	LARUT & MATANG	11.202300	14.658292	30206
1119375	SIMPANG	MAY	NULL	NULL	34	28	LARUT & MATANG	24.268000	23.363539	4250
1119376	BELUKAR SEMANG	MAY	NULL	NULL	33	28	HULU PERAK	142.518900	56.531360	1685
1119377	PENGKALAN HULU	MAY	NULL	NULL	33	28	HULU PERAK	220.904700	75.299979	14960
1119378	KOTA LAMA KANAN	MAY	NULL	NULL	33	28	KUALA KANGSAR	53.730700	36.101638	8143
1119379	TANJUNG TUALANG	MAY	NULL	NULL	31	28	KINTA	144.302500	56.080540	17830
1119380	SUNGAI TERAP	MAY	NULL	NULL	31	28	KINTA	101.141900	19.608097	39434
1119381	KAMPONG GAJAH	MAY	NULL	NULL	36	28	PERAK TENGAH	63.920700	41.601326	7319
1119382	PASIR PANJANG HULU	MAY	NULL	NULL	36	28	PERAK TENGAH	123.202400	51.530662	2943
1119383	BELANJA	MAY	NULL	NULL	31	28	KINTA	110.367400	65.689819	14820
1119384	BANDAR	MAY	NULL	NULL	36	28	PERAK TENGAH	58.654700	38.349974	10351
1119385	BANDAR KUALA KANGSAR	MAY	NULL	NULL	33	28	KUALA KANGSAR	5.780700	9.299569	23864
1119386	LOSONG	MAY	NULL	NULL	21	28	KUALA TERENGGANU	3.239900	9.811723	9754
1119387	KUALA NERUS	MAY	NULL	NULL	21	28	KUALA TERENGGANU	104.649600	54.359138	63971
1119388	TEBAK	MAY	NULL	NULL	24	28	KEMAMAN	718.300700	142.890154	9306
1119389	KUALA KUANTAN	MAY	NULL	NULL	25	28	KUANTAN	780.222500	153.494197	269721
1119390	CABANG TIGA	MAY	NULL	NULL	21	28	KUALA TERENGGANU	3.634300	9.994014	14985
1119391	GELUGUR RAJA	MAY	NULL	NULL	21	28	KUALA TERENGGANU	2.770900	7.611451	1853
1119392	LABIS	MAY	NULL	NULL	85	28	SEGAMAT	438.657500	97.431396	31051
1119393	TANJONG SEMBRONG	MAY	NULL	NULL	83	28	BATU PAHAT	348.298100	103.683333	31921
1119394	SUNGAI PUNGGOR	MAY	NULL	NULL	83	28	BATU PAHAT	94.962300	51.725087	9654
1119395	KAMPONG BAHRU	MAY	NULL	NULL	83	28	BATU PAHAT	69.517000	41.770168	10827
1119396	SRI GADING	MAY	NULL	NULL	83	28	BATU PAHAT	205.827000	94.374268	45539
1119397	CHAAH BAHARU	MAY	NULL	NULL	85	28	BATU PAHAT	309.505600	74.313614	6107
1119398	BEKOK	MAY	NULL	NULL	85	28	SEGAMAT	873.100600	121.878715	5934
1119399	PALOH	MAY	NULL	NULL	86	28	KLUANG	440.132500	119.281563	16420
1119400	ULU KUANTAN	MAY	NULL	NULL	26	28	KUANTAN	889.601900	133.355009	8434
1119401	PULAU MANIS	MAY	NULL	NULL	26	28	PEKAN	224.783300	66.063783	1462
1119402	LEPAR	MAY	NULL	NULL	26	28	PEKAN	381.731500	114.199552	4464
1119403	BEBAR	MAY	NULL	NULL	26	28	PEKAN	1826.538900	186.483520	14939
1119404	ROMPIN	MAY	NULL	NULL	26	28	ROMPIN	811.062500	125.344398	16268
1119405	KERATONG	MAY	NULL	NULL	26	28	ROMPIN	3186.631200	335.166334	63778
1119406	HULU PAKA	MAY	NULL	NULL	23	28	DUNGUN	327.558800	91.649441	6776
1119407	JERANGAU	MAY	NULL	NULL	21	28	DUNGUN	419.050800	107.951728	4829
1119408	JENGAI	MAY	NULL	NULL	23	28	DUNGUN	789.694800	193.312609	1103
1119409	BANDI	MAY	NULL	NULL	24	28	KEMAMAN	806.985000	162.010416	11743
1119410	JERUNG	MAY	NULL	NULL	21	28	MARANG	53.428700	41.595784	4829
1119411	BUKIT PAYUNG	MAY	NULL	NULL	21	28	MARANG	89.724600	54.967444	22360
1119412	TUK JAMAL	MAY	NULL	NULL	21	28	KUALA TERENGGANU	3.504700	9.741304	4754
1119413	GELUGOR KEDAI	MAY	NULL	NULL	21	28	KUALA TERENGGANU	3.968600	10.544586	5717
1119414	PENGADANG BULUH	MAY	NULL	NULL	21	28	KUALA TERENGGANU	18.094400	23.359097	13010
1119415	ATAS TOL	MAY	NULL	NULL	21	28	KUALA TERENGGANU	2.036700	5.977056	2613
1119416	PENGHULU DIMAN	MAY	NULL	NULL	21	28	HULU TERENGGANU	163.716900	68.663416	9360
1119417	SUNGAI UDANG	MAY	NULL	NULL	76	28	MELAKA TENGAH	22.253700	39.212595	23844
1119418	KENABOI	MAY	NULL	NULL	71	28	JELEBU	339.133700	115.248229	1322
1119419	TANGGA BATU	MAY	NULL	NULL	76	28	MELAKA TENGAH	7.201100	12.475787	10505
1119420	TUMPAT	MAY	NULL	NULL	16	28	TUMPAT	23.205100	42.001077	20268
1119421	PANGKAL MELERET	MAY	NULL	NULL	18	28	MACHANG	46.198900	33.152993	10225
1119422	TEMANGAN	MAY	NULL	NULL	18	28	MACHANG	71.032400	44.440165	5608
1119423	PERADONG	MAY	NULL	NULL	71	28	JELEBU	116.611100	64.907361	6101
1119424	GELAMI LEMI	MAY	NULL	NULL	71	28	JELEBU	148.079600	65.072219	8427
1119425	TERIANG HILIR	MAY	NULL	NULL	72	28	JELEBU	285.775100	87.937924	5411
1119426	SRI MENANTI	MAY	NULL	NULL	71	28	KUALA PILAH	71.990200	45.792715	3918
1119427	TERACHI	MAY	NULL	NULL	71	28	KUALA PILAH	157.878100	58.979868	4445
1119428	LANGKAP	MAY	NULL	NULL	72	28	KUALA PILAH	95.938100	44.268091	356
1119429	SELEMAK	MAY	NULL	NULL	71	28	REMBAU	19.147200	19.715875	2922
1119430	BONGEK	MAY	NULL	NULL	71	28	REMBAU	8.963900	16.730730	1398
1119431	CHENGKAU	MAY	NULL	NULL	71	28	REMBAU	19.004200	23.015079	1138
1119432	LEGONG HILIR	MAY	NULL	NULL	71	28	REMBAU	10.836800	16.390276	1483
1119433	TITIAN BINTANGOR	MAY	NULL	NULL	71	28	REMBAU	68.349500	48.022567	2828
1119434	SEMERBOK	MAY	NULL	NULL	71	28	REMBAU	14.541800	17.543888	498
1119435	LEGONG HULU	MAY	NULL	NULL	71	28	REMBAU	6.711100	12.726526	551
1119436	BRISU	MAY	NULL	NULL	78	28	ALOR GAJAH	15.230100	21.453727	793
1119437	AYER PAABAS	MAY	NULL	NULL	78	28	ALOR GAJAH	29.937600	31.012642	2116
1119438	MASJID TANAH	MAY	NULL	NULL	78	28	ALOR GAJAH	18.844600	21.786348	10730
1119439	SUNGAI BARU ULU	MAY	NULL	NULL	78	28	ALOR GAJAH	36.721600	34.720539	6236
1119440	JENDERAK	MAY	NULL	NULL	28	28	TEMERLUH	865.209900	163.739837	20299
1119441	SEMANTAN	MAY	NULL	NULL	28	28	TEMERLUH	754.908600	158.668372	16517
1119442	ULU CHEKA	MAY	NULL	NULL	27	28	JERANTUT	332.551300	98.319804	7171
1119443	PELANGAI	MAY	NULL	NULL	28	28	BENTUNG	575.010600	124.077189	16987
1119444	TANJONG BESAR	MAY	NULL	NULL	27	28	LIPIS	166.078900	56.256093	2902
1119445	CHEKA	MAY	NULL	NULL	27	28	LIPIS	464.591800	110.106821	5022
1119446	KECHAU	MAY	NULL	NULL	27	28	LIPIS	773.099500	151.686166	5782
1119447	BATU YON	MAY	NULL	NULL	27	28	LIPIS	1230.150900	225.331158	9988
1119448	CHIKU	MAY	NULL	NULL	18	28	GUA MUSANG	3087.962700	296.485150	26251
1119449	BERTAM	MAY	NULL	NULL	18	28	GUA MUSANG	4209.115200	360.276899	16923
1119450	ULU KUSIAL	MAY	NULL	NULL	17	28	TANAH MERAH	171.253700	69.984711	27298
1119451	KUSIAL	MAY	NULL	NULL	17	28	TANAH MERAH	152.068400	58.477136	46736
1119452	KUBANG GADONG	MAY	NULL	NULL	17	28	PASIR MAS	57.810400	44.218504	22931
1119453	BUNUT SUSU	MAY	NULL	NULL	17	28	PASIR MAS	39.409000	38.084796	15008
1119454	PASIR MAS	MAY	NULL	NULL	17	28	PASIR MAS	20.630000	20.965686	21681
1119455	KUALA LEMAL	MAY	NULL	NULL	17	28	PASIR MAS	30.982900	30.378471	10753
1119456	KANGKONG	MAY	NULL	NULL	17	28	PASIR MAS	103.667000	71.379146	16488
1119457	CHETOK	MAY	NULL	NULL	17	28	PASIR MAS	44.341100	32.452589	12576
1119458	TERBOK	MAY	NULL	NULL	16	28	TUMPAT	27.547100	25.042108	16096
1119459	JAL BESAR	MAY	NULL	NULL	16	28	TUMPAT	31.005600	36.558142	12595
1119460	SALOR	MAY	NULL	NULL	16	28	KOTA BHARU	23.499800	21.928507	9790
1119461	BATU MENGKEBANG	MAY	NULL	NULL	18	28	KUALA KRAI	862.015200	157.978334	55975
1119462	OLAK JERAM	MAY	NULL	NULL	18	28	KUALA KRAI	630.905400	116.168260	24665
1119463	KALUMPANG	MAY	NULL	NULL	44	28	HULU SELANGOR	43.991800	35.355784	3389
1119464	HULU BERNAM	MAY	NULL	NULL	44	28	HULU SELANGOR	462.978800	127.143160	25906
1119465	AMPANG PECAH	MAY	NULL	NULL	44	28	HULU SELANGOR	42.525300	38.045970	18724
1119466	RASA	MAY	NULL	NULL	44	28	HULU SELANGOR	83.128000	55.825245	3641
1119467	KERLING	MAY	NULL	NULL	44	28	HULU SELANGOR	180.631500	88.886968	4693
1119468	BATANG KALI	MAY	NULL	NULL	44	28	HULU SELANGOR	159.806800	78.654674	16397
1119469	HULU YAM	MAY	NULL	NULL	44	28	HULU SELANGOR	118.750500	73.914364	13946
1119470	SERENDAH	MAY	NULL	NULL	48	28	HULU SELANGOR	209.532200	74.829980	52332
1119471	SEPANG	MAY	NULL	NULL	43	28	SEPANG	202.685600	67.225676	28874
1119472	TERAS	MAY	NULL	NULL	27	28	RAUB	293.913300	91.950363	4367
1119473	TEMENGOR	MAY	NULL	NULL	33	28	HULU PERAK	2907.365900	312.470212	3141
1119474	BELUM	MAY	NULL	NULL	33	28	HULU PERAK	843.783100	124.736274	480
1119475	SEMANTAN ULU	MAY	NULL	NULL	27	28	RAUB	307.729200	93.582381	4708
1119476	ULU JELAI	MAY	NULL	NULL	27	28	LIPIS	2087.677600	259.833277	13232
1119477	BATU TALAM	MAY	NULL	NULL	27	28	RAUB	596.353400	116.490173	11560
1119478	BATANG BERJUNTAI	MAY	NULL	NULL	45	28	KUALA SELANGOR	99.772200	44.748620	20386
1119479	HULU TINGGI	MAY	NULL	NULL	45	28	KUALA SELANGOR	93.595800	40.946343	446
1119480	HULU BERNAM TIMOR	MAY	NULL	NULL	44	28	BATANG PADANG	250.147300	82.616297	24813
1119481	SUNGKAI	MAY	NULL	NULL	35	28	BATANG PADANG	684.487900	149.544236	27567
1119482	RINGLET	MAY	NULL	NULL	39	28	CAMERON HIGHLANDS	48.309200	36.992711	7401
1119483	TANAH RATA	MAY	NULL	NULL	39	28	CAMERON HIGHLANDS	19.545900	22.696533	8198
1119484	ULU TELOM	MAY	NULL	NULL	39	28	CAMERON HIGHLANDS	615.641700	122.598039	12478
1119485	SLIM	MAY	NULL	NULL	35	28	BATANG PADANG	516.910500	127.688971	19641
1119486	PASANGAN	MAY	NULL	NULL	45	28	KUALA SELANGOR	118.705200	52.967355	9653
1119487	API-API	MAY	NULL	NULL	45	28	KUALA SELANGOR	67.119200	42.000105	13069
1119488	HULU BERNAM BARAT	MAY	NULL	NULL	44	28	BATANG PADANG	156.623300	56.715362	24813
1119489	HUJUNG PERMATANG	MAY	NULL	NULL	45	28	KUALA SELANGOR	74.423200	36.072129	9291
1119490	KUALA SELANGOR	MAY	NULL	NULL	45	28	KUALA SELANGOR	21.752900	26.765282	10348
1119491	SUNGAI GUMUT	MAY	NULL	NULL	44	28	HULU SELANGOR	40.751400	37.852960	274
1119492	SUNGAI TINGGI	MAY	NULL	NULL	44	28	HULU SELANGOR	158.188500	88.101380	4550
1119493	KUALA KALUMPANG	MAY	NULL	NULL	44	28	HULU SELANGOR	41.069700	31.782680	2819
1119494	BATU	MAY	NULL	NULL	42	28	KUALA LANGAT	123.663600	46.661477	20387
1119495	MORIB	MAY	NULL	NULL	42	28	KUALA LANGAT	26.123000	23.042632	4307
1119496	LABU	MAY	NULL	NULL	71	28	SEREMBAN	222.909100	91.374260	52557
1119497	BENTONG	MAY	NULL	NULL	28	28	BENTUNG	680.228100	138.222430	59120
1119498	LENGGENG	MAY	NULL	NULL	71	28	SEREMBAN	158.715300	54.371466	8355
1119499	SETUL	MAY	NULL	NULL	71	28	SEREMBAN	149.004000	67.399010	23679
1119120	BERIAH	MAY	NULL	NULL	34	28	KERIAN	154.580900	58.928425	9795
1119121	ASAM KUMBANG	MAY	NULL	NULL	34	28	LARUT & MATANG	65.614600	47.381753	78080
1119122	HULU IJOK	MAY	NULL	NULL	34	28	SELAMA	255.669000	90.362158	11464
1119123	SELAMA	MAY	NULL	NULL	34	28	SELAMA	153.690700	90.193457	11737
1119124	JENERI	MAY	NULL	NULL	8	28	SIK	143.043200	70.835503	13436
1119125	SIK	MAY	NULL	NULL	8	28	SIK	646.242800	141.820475	37797
1119126	TELUI KANAN	MAY	NULL	NULL	9	28	BALING	129.277400	82.810151	17417
1119127	TAWAR	MAY	NULL	NULL	9	28	BALING	131.153100	75.168567	19148
1119128	MUKIM 12	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	14.952300	25.287059	4507
1119129	BAGAN TIANG	MAY	NULL	NULL	34	28	KERIAN	42.493900	29.247357	14421
1119130	MUKIM 10	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	23.110800	21.986463	17920
1119131	MUKIM 2	MAY	NULL	NULL	13	28	SEBERANG PERAI TENGAH	8.440800	13.795878	2011
1119132	MUKIM 16	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	6.881800	13.119534	7229
1119133	MUKIM 10	MAY	NULL	NULL	14	28	SEBERANG PERAI UTARA	10.799900	13241365.000000	17920
1119134	MUKIM 8	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	12.449100	21.597346	7979
1119135	MUKIM 5	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	17.879300	18.391437	6480
1119136	MUKIM 2	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	16.674100	21.027454	2011
1119137	RANTAU PANJANG	MAY	NULL	NULL	8	28	KUALA MUDA	10.124200	16.757980	2765
1119138	SIMPUR	MAY	NULL	NULL	8	28	KUALA MUDA	20.104800	22.081431	5531
1119139	PEKULA	MAY	NULL	NULL	8	28	KUALA MUDA	21.664800	21.390518	12336
1119140	BUJANG	MAY	NULL	NULL	8	28	KUALA MUDA	72.123700	51.372090	7316
1119141	MERBUK	MAY	NULL	NULL	8	28	KUALA MUDA	49.068700	42.592067	13842
1119142	LIMBUNG	MAY	NULL	NULL	6	28	KOTA SETAR	7.057700	14.227204	1283
1119143	KUBANG PASU	MAY	NULL	NULL	6	28	KUBANG PASU	41.174700	40.526805	2699
1119144	TAJAR	MAY	NULL	NULL	6	28	KOTA SETAR	45.765000	36.672938	15284
1119145	LEPAI	MAY	NULL	NULL	6	28	KOTA SETAR	7.471600	11.369672	2667
1119146	LANGGAR	MAY	NULL	NULL	6	28	KOTA SETAR	10.929700	14.424673	6919
11194	MUKIM 13	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	29.566700	33.638143	2097
111973	PASIR PANJANG	MAY	NULL	NULL	45	28	SABAK BERNAM	479.492300	68.951381	9400
111974	SUNGAI PANJANG	MAY	NULL	NULL	45	28	SABAK BERNAM	285.525200	151.311093	8774
111975	TANJUNG KARANG	MAY	NULL	NULL	45	28	KUALA SELANGOR	442.792700	91.791489	37979
111976	KERUNAI	MAY	NULL	NULL	33	28	HULU PERAK	293.004900	84.808068	7221
111977	GRIK	MAY	NULL	NULL	33	28	HULU PERAK	405.165900	96.060144	25110
111978	KENERING	MAY	NULL	NULL	33	28	HULU PERAK	847.134900	180.226555	9851
111979	LENGGONG	MAY	NULL	NULL	33	28	HULU PERAK	793.450400	190.513658	13068
111980	SUNGAI SIPUT	MAY	NULL	NULL	31	28	KUALA KANGSAR	975.166400	192.043516	43385
111981	PULAU KAMIRI	MAY	NULL	NULL	31	28	KUALA KANGSAR	554.577200	152.694101	12582
111982	TEJA	MAY	NULL	NULL	31	28	KINTA	274.723300	119.911078	23998
111983	SUNGAI RAJA	MAY	NULL	NULL	31	28	KINTA	231.984800	85.364753	19094
111984	HULU KINTA	MAY	NULL	NULL	31	28	KINTA	711.155000	139.663550	523027
111985	HUTAN MELINTANG	MAY	NULL	NULL	36	28	HILIR PERAK	548.481900	187.988640	33552
111986	DURIAN SEBATANG	MAY	NULL	NULL	36	28	HILIR PERAK	360.688700	131.280089	77361
